AÑO,fuente,emision
1999,TOTAL,6448.9
2000,TOTAL,5166.1
2001,TOTAL,4512.6
2002,TOTAL,4107.6
2003,TOTAL,4052.4
2004,TOTAL,5198
2005,TOTAL,5158.6
2006,TOTAL,6078.7
2007,TOTAL,5597.6
2008,TOTAL,7505.2
2009,TOTAL,7251.9
2010,TOTAL,5963.6
2011,TOTAL,7238.8
2012,TOTAL,8198.8
2013,TOTAL,7046.4
2014,TOTAL,6199
2015,TOTAL,6355.8
2016,TOTAL,6304.8
2017,TOTAL,5837.5
1990,Q_B,2511.3
1991,Q_B,2592
1992,Q_B,2669.2
1993,Q_B,2605.7
1994,Q_B,2483.4
1995,Q_B,2359.3
1996,Q_B,2246.1
1997,Q_B,2254.1
1998,Q_B,2067.7
1999,Q_B,2067.3
2000,Q_B,2045.3
2001,Q_B,2039
2002,Q_B,2038.9
2003,Q_B,2111.7
2004,Q_B,2150.2
2005,Q_B,2267.3
2006,Q_B,2550.7
2007,Q_B,2851.5
2008,Q_B,4712.9
2009,Q_B,5029.7
2010,Q_B,5616.3
2011,Q_B,5720.3
2012,Q_B,5854.4
2013,Q_B,6242.3
2014,Q_B,7246.5
2015,Q_B,8496.7
2016,Q_B,8831.1
2017,Q_B,9069.7
1990,BI,426.4
1991,BI,523.3
1992,BI,724.9
1993,BI,1049.4
1994,BI,664.8
1995,BI,1278.3
1996,BI,1340.1
1997,BI,1122.4
1998,BI,1045.1
1999,BI,1137.2
2000,BI,1205.3
2001,BI,1374
2002,BI,1226.7
2003,BI,1216
2004,BI,1209.1
2005,BI,1417.6
2006,BI,947.2
2007,BI,1287.7
2008,BI,1607.9
2009,BI,1803.3
2010,BI,1660.8
2011,BI,1469
2012,BI,1178.3
2013,BI,943.9
2014,BI,917.4
2015,BI,844.5
2016,BI,758.5
2017,BI,629.2
