SUJETO;zona;P1V15Departamento;Sexo;P5V20Edad;EdadREC;P7V21Computadorafijaoport†tilenhogar;P8V22Hogarconexi¢nainternet;P9V23Hogarwifioconexi¢ninal†mbrica;P10V24Clavedeaccesocontrase§aenredwifi;P11V25Utiliz¢vezinternet;P12V26Motivosporlosquenoutilizainternet;usuariosREC;P13V28;P14V30Lugaresutiliz¢internet_M1;P14V30Lugaresutiliz¢internet_M2;P14V30Lugaresutiliz¢internet_M3;P14V30Lugaresutiliz¢internet_M4;P14V30Lugaresutiliz¢internet_M5;P14V30Lugaresutiliz¢internet_M6;P14V31gtOtroparaV30Lugaresutiliz¢internet;P15V33;P16V32Frecuenciaaccedeainternetdesdedecelular;usuarioCORREO;P18V34;P19V35Buscarinformaci¢nnoticias;P20V36Educaci¢nyaprendizaje;usuarioREDESSOCIALES;P21V37;P22V38Trabajar;P23V39Comprarvenderproductososervicios;P24V40;usuarioEBANKING;P25V41Pagosotransferenciasbancarias;P26V42Antivirusenpclaptop;P27V431Comoconsiguioelantivirus;P28V44Antivirusencelular;P29V45Tipodeinformaci¢nguardaencelular_M1;P29V45Tipodeinformaci¢nguardaencelular_M2;P29V45Tipodeinformaci¢nguardaencelular_M3;P29V45Tipodeinformaci¢nguardaencelular_M4;P29V45Tipodeinformaci¢nguardaencelular_M5;P30V46;P31V47;P34V48Satisfechooinsatisfechodir°aqueseencuentrarespectoalosserv;P35V49Pensandoenhacertr†mitesygestionesenunaoficinap£blica...pre;P36V50Conf°aeninternetcomomedioparahacertr†mitesanteoficinasp£bl;P37V51Intendenciaoempresap£blicaparabuscarinformaci¢n;P38V52Encontr¢lainformaci¢nquebuscaba;P39V53Conoceelsitiowebportaldelestadouruguayo;P40V54Conoceelsitiowebtramites.gub.uy;P41V55Quejasosugerencias;P42V56Tipoderespuestarecibi¢enla£ltimaoportunidadenqueenvi¢uncor;P43V58Leresolvieronlaconsultaoproblemaenesaoportunidad;P44V59Etc.encasodequeunciudadanocom£nquierasaberlo;P46V61Serviciosporinternetqueofreceelestadodemuybuenacalidad;P47V62Serviciosporinternetqueofreceelestadofuncionanentodomoment;P48V63Serviciosporinternetqueofreceelestadomuyf†cilesdeusar;P49V64Serviciosporinternetqueofreceelestadomepermitenahorrartiem;P50V65Informaci¢nquebrindaelestadoporinternetcorrectayprecisa;p46;p47;p48;p49;p50;P53V66Cu†ntaconfianzasetieneacercadecapacidadparausaruncajeroaut;P54V67Cu†ntaconfianzasetieneacercadecapacidadparahacertransaccio;P55V68;P57V69Firmarparallamadoaconsultapopular;P58V70Asistiramanifestaciones;P59V71Unirseahuelgas;P60V72Èltimosdocemeses;P62V73Debidoalacienciaylatecnolog°ahabr†m†soportunidadesparalapr;P63V74Dependemosdemasiadodelatecnolog°ayesonobueno;P65V76Correoelectr¢nico;P66V77Redessociales;P67V78Bancaelectr¢nica;P69V79Evitodivulgarinformaci¢npersonaleninternet;P70V80Creoquelosmenoresde18a§ospuedenusarinternets¢loconestricto;P71V81Sitioswebnomantienenmiinformaci¢npersonalsegura;P73V82SuNombre;P74V83SuDirecci¢n;P75V84Quienesamigos;P76V85Gustosyopiniones;P77V86Fotos;P78V87Sabesiexisteleyodecretoqueimpidaqueotraspersonasoempresasu;P79V88Havistouo°doalgosobredelitosquesecometeneninternet;P81V90Robodeidentidad;P82V91Mensajesdecorreoelectr¢nicodeextra§ospidiendodineroodatosp;P83V92Fraudeenl°neadondelosbienesadquiridosnofueronentregadosseg;P84V93Nosercapazdeaccederaserviciosenl°neaacausadeataquescibernÇ;P86V94Èltimoa§odeestudiosquecurs¢;EducativoREC;PonderaEDUC;P87V95Hijosmenoresde18a§osenhogar;P88V96TarjetadecrÇdito;VBP_1ID
AGESIC-641;01;10;2;75;4;2;1;1;2;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;8;4;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;5;99;99;99;99;5;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;1;1;1;3;3;#≠NULO!;10;6;#≠NULO!;#≠NULO!;#≠NULO!;1;2;1;1;2;1;1;1;2;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;6;02;00.001;2;2;AGESIC-641
AGESIC-1085;02;3;1;59;3;1;1;1;1;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;10;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;10;10;10;10;10;10;10;10;10;10;3;3;4;2;3;2;#≠NULO!;10;10;#≠NULO!;#≠NULO!;#≠NULO!;2;1;2;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;5;02;00.001;2;1;AGESIC-1085
AGESIC-1329;02;9;1;58;3;2;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;10;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;10;10;10;99;99;10;10;10;#≠NULO!;#≠NULO!;3;3;99;3;3;2;#≠NULO!;10;1;#≠NULO!;#≠NULO!;#≠NULO!;3;2;3;1;1;2;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;4;02;00.001;2;2;AGESIC-1329
AGESIC-1027;01;10;2;57;3;1;1;1;99;2;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;1;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;1;1;1;1;1;#≠NULO!;8;5;#≠NULO!;#≠NULO!;#≠NULO!;1;2;3;1;1;1;2;1;1;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;6;02;00.001;1;2;AGESIC-1027
AGESIC-2502;01;10;2;70;4;2;1;1;2;2;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;5;1;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;5;6;8;8;7;5;6;8;8;7;1;1;1;1;1;2;#≠NULO!;10;10;#≠NULO!;#≠NULO!;#≠NULO!;1;1;2;2;1;99;1;2;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;2;AGESIC-2502
AGESIC-1299;02;17;2;64;4;1;1;99;#≠NULO!;1;#≠NULO!;1;1;1;88;88;88;88;88;-777777777;99;#≠NULO!;2;99;6;1;2;6;6;6;6;2;6;99;#≠NULO!;#≠NULO!;2;5;88;88;88;2;99;10;4;2;2;#≠NULO!;2;2;2;#≠NULO!;#≠NULO!;2;10;10;10;10;10;10;10;10;10;10;4;1;2;2;2;3;2;10;10;1;1;2;4;1;1;1;1;2;2;1;2;1;2;2;2;2;3;02;00.001;1;2;AGESIC-1299
AGESIC-2678;01;10;2;64;4;1;1;1;1;1;#≠NULO!;1;1;1;88;88;88;88;88;-777777777;99;#≠NULO!;1;1;1;99;1;1;6;5;3;2;6;1;1;#≠NULO!;5;88;88;88;88;1;2;9;2;99;1;1;2;2;2;#≠NULO!;#≠NULO!;2;5;4;9;7;5;5;4;9;7;5;4;99;1;1;1;1;2;10;1;2;2;2;4;2;4;2;2;2;2;2;1;1;2;1;2;2;7;03;00.001;2;1;AGESIC-2678
AGESIC-2247;01;10;1;32;2;2;2;#≠NULO!;#≠NULO!;2;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;4;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;1;3;3;1;1;#≠NULO!;1;5;#≠NULO!;#≠NULO!;#≠NULO!;1;3;2;2;2;2;2;2;1;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;4;02;00.001;1;2;AGESIC-2247
AGESIC-1303;01;10;1;42;2;2;1;2;#≠NULO!;2;2;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;6;4;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;7;5;9;9;8;7;5;9;9;8;3;2;1;1;3;2;#≠NULO!;8;8;#≠NULO!;#≠NULO!;#≠NULO!;3;2;3;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;1;1;AGESIC-1303
AGESIC-1014;02;15;2;49;3;2;2;#≠NULO!;#≠NULO!;2;2;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;5;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;99;1;99;99;1;99;#≠NULO!;5;3;#≠NULO!;#≠NULO!;#≠NULO!;99;99;99;2;2;2;2;2;2;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;01;00.002;1;2;AGESIC-1014
AGESIC-4940;02;17;2;51;3;2;2;#≠NULO!;#≠NULO!;2;2;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;7;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;8;8;8;9;8;8;8;8;9;8;1;2;1;3;3;3;#≠NULO!;10;8;#≠NULO!;#≠NULO!;#≠NULO!;4;1;4;2;2;2;2;2;2;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;1;1;AGESIC-4940
AGESIC-1412;02;2;2;29;1;1;1;2;#≠NULO!;2;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;10;4;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;4;99;6;7;6;4;#≠NULO!;6;7;6;4;2;2;3;3;3;#≠NULO!;5;6;#≠NULO!;#≠NULO!;#≠NULO!;1;1;2;1;1;1;2;1;1;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;4;02;00.001;1;2;AGESIC-1412
AGESIC-1418;01;10;2;55;3;1;1;2;#≠NULO!;2;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;9;4;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;6;9;8;9;9;6;9;8;9;9;1;1;3;3;3;3;#≠NULO!;8;5;#≠NULO!;#≠NULO!;#≠NULO!;1;3;1;1;1;99;2;2;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;1;AGESIC-1418
AGESIC-5181;02;4;1;59;3;1;1;2;#≠NULO!;2;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;5;10;10;10;10;5;10;10;10;10;4;4;1;1;3;2;#≠NULO!;10;5;#≠NULO!;#≠NULO!;#≠NULO!;4;1;99;2;99;2;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;2;AGESIC-5181
AGESIC-1227;02;17;2;62;4;2;1;2;#≠NULO!;2;2;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;8;4;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;7;6;8;8;7;7;6;8;8;7;99;99;2;2;2;3;#≠NULO!;8;7;#≠NULO!;#≠NULO!;#≠NULO!;2;1;2;1;1;2;1;1;2;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;2;AGESIC-1227
AGESIC-2699;01;10;1;66;4;2;2;#≠NULO!;#≠NULO!;2;2;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;10;4;4;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;10;10;10;10;10;10;10;10;10;10;3;4;4;2;1;3;#≠NULO!;10;1;#≠NULO!;#≠NULO!;#≠NULO!;1;1;4;2;1;2;1;1;1;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;2;AGESIC-2699
AGESIC-2084;02;4;2;67;4;2;2;#≠NULO!;#≠NULO!;2;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;7;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;8;99;9;10;10;8;#≠NULO!;9;10;10;3;1;1;1;2;2;#≠NULO!;10;10;#≠NULO!;#≠NULO!;#≠NULO!;1;1;1;1;1;2;2;2;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;6;02;00.001;2;1;AGESIC-2084
AGESIC-1426;01;10;2;71;4;2;2;#≠NULO!;#≠NULO!;2;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;8;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;3;1;2;99;3;3;#≠NULO!;10;10;#≠NULO!;#≠NULO!;#≠NULO!;4;1;99;2;2;2;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;1;AGESIC-1426
AGESIC-1670;02;11;1;72;4;2;2;#≠NULO!;#≠NULO!;2;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;9;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;1;1;3;3;3;#≠NULO!;10;99;#≠NULO!;#≠NULO!;#≠NULO!;1;1;99;1;1;1;2;1;1;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;2;AGESIC-1670
AGESIC-5595;02;3;2;75;4;2;2;#≠NULO!;#≠NULO!;2;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;10;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;99;99;99;2;3;3;#≠NULO!;99;1;#≠NULO!;#≠NULO!;#≠NULO!;99;1;99;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;6;02;00.001;2;2;AGESIC-5595
AGESIC-1718;02;2;1;76;4;2;2;#≠NULO!;#≠NULO!;2;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;5;4;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;1;1;1;2;1;#≠NULO!;8;99;#≠NULO!;#≠NULO!;#≠NULO!;1;1;2;1;1;1;1;1;2;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;01;00.002;2;1;AGESIC-1718
AGESIC-1453;02;4;1;77;4;1;2;#≠NULO!;#≠NULO!;2;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;4;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;5;5;7;7;8;5;5;7;7;8;2;2;3;2;1;1;#≠NULO!;8;5;#≠NULO!;#≠NULO!;#≠NULO!;2;2;2;1;2;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;3;02;00.001;2;1;AGESIC-1453
AGESIC-2726;01;10;2;77;4;1;1;1;1;2;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;99;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;8;8;10;10;10;8;8;10;10;10;1;1;1;1;3;3;#≠NULO!;9;5;#≠NULO!;#≠NULO!;#≠NULO!;2;3;1;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;1;AGESIC-2726
AGESIC-319;01;10;1;78;4;2;2;#≠NULO!;#≠NULO!;2;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;7;1;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;2;2;1;1;3;#≠NULO!;7;9;#≠NULO!;#≠NULO!;#≠NULO!;1;1;1;1;1;1;1;1;2;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;2;AGESIC-319
AGESIC-6546;02;16;2;79;4;2;2;#≠NULO!;#≠NULO!;2;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;8;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;99;99;99;8;8;#≠NULO!;#≠NULO!;#≠NULO!;8;8;1;3;3;3;3;3;#≠NULO!;10;10;#≠NULO!;#≠NULO!;#≠NULO!;99;1;99;1;1;99;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;01;00.002;2;2;AGESIC-6546
